FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 BaseRate	 Amp		 x_width	 y_width	 x_ctr	 y_ctr	 rfplot_x_ctr	 rfplot_y_ctr	 axpect_ratio	
m60803c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.65	  7.39	 31.00	 15.84	 -3.28	 -0.53	  0.00		  0.00		 1.957	
m60803c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.02	 11.47	 34.74	 37.57	 -4.90	  5.30	  0.00		  0.00		 0.925	
m60808c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.31	  4.25	 22.43	 18.54	  2.89	 -3.61	  0.00		  0.00		 1.210	
m60808c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.04	 12.33	 43.82	 42.96	 -0.23	  6.07	  0.00		  0.00		 1.020	
m60809c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.63	 10.20	 42.75	 38.61	 -0.90	 -2.62	  0.00		  0.00		 1.107	
m60809c2r1.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	  3.47	  7.82	 44.00	 38.24	 -2.62	  2.22	  0.00		 -5.00		 1.151	
m60809c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.09	  5.20	 35.20	 28.65	  3.21	  6.93	  0.00		  0.00		 1.229	
m60809c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.57	 14.32	 27.27	 32.94	  6.07	  5.07	  0.00		  0.00		 0.828	
m60809c5r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	 10.44	 21.32	 39.52	 52.32	 -1.89	 -0.76	  0.00		  0.00		 0.755	
m60810c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  5.00	 22.56	 32.30	 37.95	  9.34	  1.53	  0.00		  0.00		 0.851	
m60810c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.81	 21.38	 35.05	 34.05	  0.82	  6.41	  0.00		  0.00		 1.029	
m60810c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.58	  8.90	 60.15	 50.77	  3.33	 -2.15	  0.00		  0.00		 1.185	
m60810c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  6.73	 11.25	 40.20	 59.92	  1.51	  0.12	  0.00		  0.00		 0.671	
m60810c5r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	 10.46	  7.89	 48.34	 69.72	 -3.41	 -1.80	  0.00		  0.00		 0.693	
