FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 BaseRate	 Amp		 x_width	 y_width	 x_ctr	 y_ctr	 rfplot_x_ctr	 rfplot_y_ctr	 axpect_ratio	
m60816c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.59	  2.66	 14.02	 48.95	 -5.19	 -17.73	  0.00		  0.00		 0.286	
m60818c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.26	  5.97	 23.79	 15.27	 -5.96	 -2.89	  0.00		  0.00		 1.558	
m60818c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  9.61	  9.96	 54.62	 42.52	  3.26	  8.55	  0.00		  0.00		 1.285	
m60818c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.80	  4.14	 47.69	 46.35	 -3.63	  4.58	  0.00		  0.00		 1.029	
m60821c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.32	 14.90	 25.61	 24.27	  4.32	 -10.40	  0.00		  0.00		 1.055	
m60825c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.70	  5.25	 58.44	 27.88	 -13.06	 -6.04	  0.00		  0.00		 2.097	
m60831c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.04	  7.43	 31.91	 21.08	 -0.92	 -6.44	  0.00		  0.00		 1.514	
m60831c3r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	 10.05	 27.99	 37.53	 37.05	 -2.14	  2.35	  0.00		  0.00		 1.013	
m60901c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.01	  4.10	 19.77	 18.25	 -7.25	 -0.56	  0.00		  0.00		 1.083	
m60901c2r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.23	 17.01	 22.33	 20.55	  4.73	 -0.85	  0.00		  0.00		 1.086	
m60901c3r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.25	  8.99	 36.56	 36.03	 -4.25	 -4.86	  0.00		  0.00		 1.015	
m61025c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.54	  7.76	 61.77	 39.16	  3.49	 -5.30	  0.00		  0.00		 1.577	
m61025c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.54	  7.76	 61.78	 39.16	  3.49	 -5.30	  0.00		  0.00		 1.577	
m61025c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.21	  8.29	 29.92	 19.90	 -2.38	 -3.41	  0.00		  0.00		 1.504	
m61025c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.85	 11.21	 34.93	 23.33	 -2.57	 -6.84	  0.00		  0.00		 1.497	
m61026c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.00	  4.93	 32.62	 19.89	 -3.60	 -0.18	  0.00		  0.00		 1.640	
m61026c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.18	 10.25	 32.98	 20.14	 -5.51	 -2.36	  0.00		  0.00		 1.637	
m61026c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.16	 13.81	 36.23	 16.75	 -1.85	 -2.67	  0.00		  0.00		 2.163	
m61026c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.09	 19.68	 28.51	 19.29	 -1.82	 -4.39	  0.00		  0.00		 1.478	
m61031c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.05	  2.01	 28.10	 22.21	  1.42	 -2.22	  0.00		  0.00		 1.265	
m61031c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.84	  2.08	 61.24	 52.65	 14.81	 -4.99	  0.00		  0.00		 1.163	
m61106c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.36	  5.67	 14.53	 20.04	 -1.05	 10.94	  0.00		  0.00		 0.725	
m61106c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.27	  8.13	 27.05	 16.49	 -2.16	 -1.87	  0.00		  0.00		 1.641	
m61106c3r1.htb	 120.0	  0.03	 2.000	  0.00	  0.00	 40.00	  8.59	 21.49	 36.68	 17.27	  0.81	 -2.34	  0.00		  0.00		 2.125	
m61108c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.05	  4.10	 22.15	 18.29	  4.54	 -12.22	  0.00		  0.00		 1.211	
m61108c4r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.65	 27.46	 25.99	 12.79	  2.76	 -4.05	  0.00		  0.00		 2.031	
m61109c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.03	  2.74	 38.68	 21.13	 -3.45	 -3.55	  0.00		  0.00		 1.830	
m61109c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.81	  7.58	 28.81	 27.12	  1.94	  2.23	  0.00		  0.00		 1.062	
m61109c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  7.14	 14.68	 44.83	 38.90	  2.42	  3.98	  0.00		  0.00		 1.153	
m61109c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.94	 23.02	 33.86	 27.11	  1.06	 -2.22	  0.00		  0.00		 1.249	
m61109c5r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.34	 11.96	 52.14	 37.95	 -4.46	 -0.73	  0.00		  0.00		 1.374	
m61110c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.37	 11.10	 89.57	 43.83	 -1.07	  7.32	  0.00		  0.00		 2.044	
m61110c2r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	 12.33	 10.39	 38.34	 22.30	  3.95	 -14.71	  0.00		  0.00		 1.719	
m61110c3r1.htb	 180.0	  0.03	 2.000	  0.00	 -30.00	 40.00	  9.04	 13.51	 26.56	  9.84	  7.31	 -14.88	  0.00		 -30.00		 2.698	
m61113c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.05	  5.67	 37.33	 16.04	 -0.95	 -1.16	  0.00		  0.00		 2.328	
m61113c2r1.htb	 120.0	  0.03	 1.000	  0.00	  0.00	 40.00	  5.67	  5.60	 47.77	 36.89	 -5.06	 -9.85	  0.00		  0.00		 1.295	
m61113c3r1.htb	  90.0	  0.03	 2.000	  0.00	  0.00	 40.00	  6.93	  4.61	 33.32	 14.04	 -5.48	 -16.94	  0.00		  0.00		 2.373	
m61115c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.74	  7.28	 41.27	 36.67	  3.91	 -3.29	  0.00		  0.00		 1.126	
m61115c2r1.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	  2.58	  4.76	 36.25	 30.80	  4.53	 -5.11	  0.00		 -5.00		 1.177	
m61115c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  5.91	  9.43	 53.63	 37.22	 -6.73	 -11.00	  0.00		  0.00		 1.441	
m61115c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  9.91	 11.90	 60.01	 43.39	  5.30	 -4.15	  0.00		  0.00		 1.383	
m61116c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.19	 -5.96	 33.27	  6.15	 22.56	 25.59	  0.00		  0.00		 5.406	
m61121c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.07	 10.72	 32.62	 23.56	 -0.80	 -3.89	  0.00		  0.00		 1.385	
m61122c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.09	  5.10	 42.80	 21.19	 -6.62	 -5.36	  0.00		  0.00		 2.020	
m61122c2r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.49	  4.27	 48.22	 12.96	  0.70	 -18.30	  0.00		  0.00		 3.722	
m61122c3r1.htb	  60.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.01	  6.90	 29.97	 27.92	 -3.63	  0.11	  0.00		  0.00		 1.074	
m61122c4r1.htb	  60.0	  0.03	 2.000	  0.00	  0.00	 40.00	  7.40	 11.32	 42.49	 34.64	 -3.60	 -3.89	  0.00		  0.00		 1.226	
m61127c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.07	  9.93	 14.08	 13.26	  4.31	 -6.58	  0.00		  0.00		 1.062	
m61127c2r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.16	  3.26	 44.08	 25.69	  1.64	 -2.25	  0.00		  0.00		 1.716	
m61127c3r1.htb	  30.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.79	 20.00	 21.15	 20.87	  4.94	 -1.69	  0.00		  0.00		 1.013	
m61127c4r1.htb	  90.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.71	 23.72	 28.74	 23.89	  2.00	 -4.06	  0.00		  0.00		 1.203	
m61128c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.00	 10.52	 22.20	 16.79	  8.62	 -1.49	  0.00		  0.00		 1.322	
m61128c2r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  9.12	 35.30	 26.94	 21.59	  3.15	  0.30	  0.00		  0.00		 1.248	
m61128c3r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  7.21	 19.39	 38.64	 26.98	  1.64	 -4.37	  0.00		  0.00		 1.433	
m61128c4r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.98	 13.56	 31.61	 27.08	 -4.33	 -9.96	  0.00		  0.00		 1.168	
m61129c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.55	  2.53	 50.86	 31.65	  9.60	 -6.35	  0.00		  0.00		 1.607	
m61129c2r1.htb	  90.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.84	  3.58	 64.13	 57.43	  4.94	 -2.21	  0.00		  0.00		 1.117	
m61129c3r1.htb	  90.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.74	  8.07	 37.39	 36.97	 -0.49	  3.45	  0.00		  0.00		 1.011	
m61130c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.26	 13.51	 42.91	 31.59	 -1.39	  1.29	  0.00		  0.00		 1.358	
m61130c2r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.13	  5.92	 39.33	 40.44	  6.26	  6.88	  0.00		  0.00		 0.973	
m61130c3r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  5.08	  4.28	 23.68	 39.07	  4.07	  6.41	  0.00		  0.00		 0.606	
m61130c4r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.44	 14.03	 26.96	 19.15	  4.79	 -3.27	  0.00		  0.00		 1.408	
m61201c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.41	  6.72	 36.90	 17.63	  3.80	 -4.22	  0.00		  0.00		 2.093	
m61201c2r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.22	 25.88	 38.73	 23.20	  0.11	 -4.28	  0.00		  0.00		 1.669	
m61204c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.20	  9.10	 34.28	 16.21	 -1.90	 -1.75	  0.00		  0.00		 2.115	
m61204c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.13	 34.25	 26.87	 16.54	  0.34	 -5.00	  0.00		  0.00		 1.624	
m61204c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.73	 11.18	 22.78	  6.05	 -3.95	 -9.35	  0.00		  0.00		 3.762	
m61206c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.85	 27.76	 30.14	 14.97	  4.38	 -3.81	  0.00		  0.00		 2.014	
m61206c2r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.84	 16.67	 33.63	 25.73	 -3.60	  1.82	  0.00		  0.00		 1.307	
m61206c3r1.htb	 240.0	  0.03	 2.000	  0.00	  0.00	 40.00	 23.46	 34.92	 31.95	 25.99	  5.34	 -3.73	  0.00		  0.00		 1.229	
m61206c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.56	 27.76	 19.92	 20.40	 -0.62	 -6.34	  0.00		  0.00		 0.977	
