FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 BaseRate	 Amp		 x_width	 y_width	 x_ctr	 y_ctr	 rfplot_x_ctr	 rfplot_y_ctr	 axpect_ratio	
m60525c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  5.01	 26.45	 34.44	 25.33	  5.91	  0.38	  0.00		  0.00		 1.360	
m60525c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.50	 19.66	 29.64	 25.66	  8.27	 -4.59	  0.00		  0.00		 1.155	
m60525c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.07	 18.20	 24.43	 19.61	  4.23	 -5.86	  0.00		  0.00		 1.246	
m60531c1r1.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	  0.05	  2.60	 225.40	 38.74	 -29.20	 -4.76	  0.00		 -10.00		 5.818	
m60531c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	 10.13	  8.53	 39.12	 17.92	 -11.35	 -1.51	  0.00		  0.00		 2.183	
m60601c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  0.18	  3.69	 30.39	 26.53	  7.02	  6.63	  0.00		  0.00		 1.146	
m60601c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  2.95	  4.62	 20.45	 19.10	 -11.41	 -15.02	  0.00		  0.00		 1.070	
m60601c3r1.htb	  90.0	  0.03	 2.000	  0.00	 -5.00	 30.00	  2.28	 14.40	 28.08	 13.61	 -2.54	 -6.31	  0.00		 -5.00		 2.063	
m60601c4r1.htb	  90.0	  0.03	 2.000	  0.00	 -10.00	 40.00	  3.20	 20.82	 24.85	 19.03	  1.79	 -6.46	  0.00		 -10.00		 1.306	
m60601c5r1.htb	  90.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.12	 10.32	 51.03	 24.39	  0.77	 -4.10	  0.00		  0.00		 2.092	
m60602c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  5.09	 14.20	 22.26	 14.86	 -1.39	 -3.78	  0.00		  0.00		 1.498	
m60602c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  8.73	 15.26	 28.06	 23.64	 -6.04	 -3.12	  0.00		  0.00		 1.187	
m60602c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  8.27	 16.94	 24.88	 19.99	 -2.70	  2.72	  0.00		  0.00		 1.245	
m60602c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.56	 13.13	 27.10	 16.87	 -2.17	 -4.34	  0.00		  0.00		 1.606	
m60602c5r1.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 30.00	  7.47	  8.27	 40.94	 35.25	 -1.32	 -4.57	  0.00		 -10.00		 1.161	
m60605c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  4.77	 27.26	 22.98	 17.49	 -1.37	 -2.87	  0.00		  0.00		 1.313	
m60605c2r1.htb	   0.0	  0.03	 2.000	 -3.00	 -7.00	 30.00	  0.43	  5.25	 26.65	 23.88	 -6.92	 -8.75	 -3.00		 -7.00		 1.116	
m60605c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  9.83	 18.33	 23.01	 20.60	 -2.66	 -0.98	  0.00		  0.00		 1.117	
m60606c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  0.01	  5.45	 12.34	 12.66	  8.76	 -3.18	  0.00		  0.00		 0.975	
m60606c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.15	 11.72	 18.05	 20.87	 -3.64	  1.65	  0.00		  0.00		 0.865	
m60606c3r1.htb	  90.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.51	 16.07	 24.20	 25.14	 -5.65	 -4.72	  0.00		  0.00		 0.963	
m60606c4r1.htb	  90.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.47	 34.33	 26.98	 20.36	  6.29	 -1.94	  0.00		  0.00		 1.325	
m60606c5r1.htb	  90.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.16	 22.11	 32.17	 28.71	  7.28	  3.31	  0.00		  0.00		 1.121	
m60613c5r1.htb	   0.0	  0.03	 2.000	  0.00	 -15.00	 30.00	 13.52	 18.43	 26.50	 12.85	 -5.06	 -14.80	  0.00		 -15.00		 2.062	
m60613c6r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  4.72	 15.74	 27.98	 20.54	  4.26	 -11.80	  0.00		  0.00		 1.362	
m60614c2r1.htb	   0.0	  0.03	 2.000	  0.00	 -8.00	 30.00	  6.21	 10.76	 37.08	 20.87	  6.45	 -6.43	  0.00		 -8.00		 1.777	
m60614c4r1.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 30.00	  1.28	  8.98	 21.72	 11.48	  5.22	 -11.29	  0.00		 -10.00		 1.891	
m60615c2r1.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	  2.18	 15.82	 31.57	 16.94	 -4.44	 -12.04	  0.00		 -10.00		 1.864	
m60616c1r1.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 30.00	  2.72	 12.97	 30.58	 17.27	 -11.36	 -15.16	  0.00		 -10.00		 1.771	
m60616c2r1.htb	   0.0	  0.03	 2.000	  0.00	 -15.00	 30.00	  0.59	  7.17	 48.72	 24.97	  2.32	 -6.95	  0.00		 -15.00		 1.951	
m60619c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.19	  8.69	 38.06	 28.32	 -0.05	 -0.20	  0.00		  0.00		 1.344	
m60619c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.90	  9.63	 26.80	 24.77	 -1.57	  0.58	  0.00		  0.00		 1.082	
m60619c3r1.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	  0.71	 14.85	 22.22	 16.95	  1.67	 -0.95	  0.00		 -5.00		 1.311	
m60619c4r1.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	 13.68	 19.08	 48.03	 30.15	 -7.16	 -5.99	  0.00		 -5.00		 1.593	
m60620c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.39	 16.28	 30.58	 23.88	  0.97	  2.59	  0.00		  0.00		 1.280	
m60620c2r1.htb	   0.0	  0.03	 2.000	  5.00	  5.00	 40.00	 10.26	 16.44	 47.96	 33.27	  1.22	  1.99	  5.00		  5.00		 1.442	
m60620c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	 13.50	 17.93	 53.60	 30.28	 -0.40	  6.76	  0.00		  0.00		 1.770	
m60620c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.79	  8.97	 35.72	 28.24	  0.87	  4.14	  0.00		  0.00		 1.265	
m60621c2r1.htb	   0.0	  0.03	 2.000	  0.00	 -8.00	 30.00	  0.03	  6.80	 13.56	 11.97	  6.49	 -3.38	  0.00		 -8.00		 1.132	
m60621c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.23	  4.14	 16.53	 18.64	  4.26	  1.90	  0.00		  0.00		 0.886	
m60621c4r1.htb	 180.0	  0.03	 2.000	 10.00	  0.00	 40.00	  0.43	  4.11	 56.82	 29.42	  2.16	 -6.41	 10.00		  0.00		 1.931	
m60621c5r1.htb	 130.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.78	 17.62	 37.88	 27.00	 -9.08	 -8.62	  0.00		  0.00		 1.403	
m60621c6r1.htb	 130.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.06	  8.32	 32.82	 19.01	  2.89	 -11.11	  0.00		  0.00		 1.727	
m60622c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 30.00	  0.08	  5.96	 26.66	 15.70	  1.97	 -4.87	  0.00		  0.00		 1.698	
m60623c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  6.13	 10.95	 30.65	 21.95	 -3.78	  6.42	  0.00		  0.00		 1.396	
