FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 BaseRate	 Amp		 x_width	 y_width	 x_ctr	 y_ctr	 rfplot_x_ctr	 rfplot_y_ctr	 axpect_ratio	
m70308c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 50.00	  2.77	  8.58	 37.88	 37.90	 12.15	 -6.97	  0.00		  0.00		 0.999	
m70309c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 50.00	  1.28	  5.58	 65.54	 18.17	 -10.04	 -2.58	  0.00		  0.00		 3.607	
m70309c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 50.00	  4.17	 15.25	 52.49	 41.36	  3.21	 -6.84	  0.00		  0.00		 1.269	
m70309c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 50.00	  0.73	  1.80	 50.22	 42.03	  6.39	 -5.33	  0.00		  0.00		 1.195	
m70312c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 50.00	  1.28	 -1.22	 134.33	  7.50	 -37.50	 -37.50	  0.00		  0.00		 17.911	
m70313c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 50.00	  2.28	  2.50	 48.11	 20.91	  4.92	  0.87	  0.00		  0.00		 2.301	
m70313c2r1.htb	  60.0	  0.03	 2.000	  0.00	  0.00	 50.00	 16.77	 -11.79	 25.89	 16.34	 -35.87	 -25.32	  0.00		  0.00		 1.585	
m70410c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.08	 10.42	 33.98	 29.28	 10.91	 -21.55	  0.00		  0.00		 1.160	
m70410c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  9.72	 -9.11	 240.00	 15.63	 -24.77	 21.55	  0.00		  0.00		 15.356	
m70411c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  3.86	  2.18	 112.46	 60.86	 24.81	 14.37	  0.00		  0.00		 1.848	
m70411c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.57	  1.41	 28.72	 38.89	  2.69	  3.96	  0.00		  0.00		 0.739	
m70412c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.01	  2.09	 60.27	 55.25	 -3.52	 11.64	  0.00		  0.00		 1.091	
