FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 Onset	 AvgPulseTime	 PulseTimeStdev	 RedFlag	
m60404c4r2.htb	   0.0	  0.03	 1.000	 10.00	  5.00	 40.00	   1.0	 0.1990	 996.0000		 0.0000	   1.0	
m60404c5r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.2170	 996.0000		 0.0000	   0.0	
m60404c5r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 2.0010	 996.0000		 0.0000	   1.0	
m60405c2r2.htb	   0.0	  0.03	 2.000	 -10.00	 -15.00	 40.00	   0.0	 0.1510	 996.0000		 0.0000	   1.0	
m60405c2r2.htb	   0.0	  0.03	 2.000	 -10.00	 -15.00	 40.00	   1.0	 0.4770	 996.0000		 0.0000	   1.0	
m60405c3r2.htb	 270.0	  0.03	 2.000	 -5.00	 -15.00	 40.00	   0.0	 0.1220	 996.0000		 0.0000	   0.0	
m60405c3r2.htb	 270.0	  0.03	 2.000	 -5.00	 -15.00	 40.00	   1.0	 0.1170	 996.0000		 0.0000	   0.0	
m60414c1r2.htb	 180.0	  0.03	 2.000	 -8.00	 -8.00	 50.00	   0.0	 0.1380	 996.0000		 0.0000	   1.0	
m60414c1r2.htb	 180.0	  0.03	 2.000	 -8.00	 -8.00	 50.00	   1.0	 0.1330	 996.0000		 0.0000	   0.0	
m60414c3r2.htb	 180.0	  0.05	 2.000	 -10.00	  0.00	 30.00	   0.0	 0.1580	 996.0000		 0.0000	   0.0	
m60414c3r2.htb	 180.0	  0.05	 2.000	 -10.00	  0.00	 30.00	   1.0	 0.7450	 996.0000		 0.0000	   1.0	
m60419c1r2.htb	 180.0	  0.03	 2.000	 10.00	  5.00	 50.00	   0.0	 2.0010	 996.0000		 0.0000	   1.0	
m60419c1r2.htb	 180.0	  0.03	 2.000	 10.00	  5.00	 50.00	   1.0	 0.1240	 996.0000		 0.0000	   0.0	
m60419c2r2.htb	 180.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   0.0	 2.0010	 996.0000		 0.0000	   1.0	
m60419c2r2.htb	 180.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   1.0	 0.2010	 996.0000		 0.0000	   1.0	
m60420c2r2.htb	   0.0	  0.03	 2.000	  5.00	  0.00	 40.00	   0.0	 0.3230	 996.0000		 0.0000	   0.0	
m60420c2r2.htb	   0.0	  0.03	 2.000	  5.00	  0.00	 40.00	   1.0	 0.4160	 996.0000		 0.0000	   1.0	
m60424c1r2.htb	 180.0	  0.03	 2.000	 -10.00	 -10.00	 40.00	   0.0	 -0.4890	 996.0000		 0.0000	   0.0	
m60424c1r2.htb	 180.0	  0.03	 2.000	 -10.00	 -10.00	 40.00	   1.0	 -0.4890	 996.0000		 0.0000	   0.0	
m60424c2r2.htb	   0.0	  0.03	 2.000	  8.00	 -8.00	 40.00	   0.0	 0.1330	 996.0000		 0.0000	   0.0	
m60424c2r2.htb	   0.0	  0.03	 2.000	  8.00	 -8.00	 40.00	   1.0	 -0.4890	 996.0000		 0.0000	   0.0	
m60515c4r2.htb	   0.0	  0.03	 2.000	 -10.00	 10.00	 40.00	   0.0	 0.1260	 996.0000		 0.0000	   1.0	
m60515c4r2.htb	   0.0	  0.03	 2.000	 -10.00	 10.00	 40.00	   1.0	 0.1140	 996.0000		 0.0000	   1.0	
m60517c1r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.1970	 996.0000		 0.0000	   1.0	
m60517c1r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 0.1230	 996.0000		 0.0000	   1.0	
m60517c2r2.htb	   0.0	  0.03	 2.000	 -10.00	 -10.00	 40.00	   0.0	 0.1190	 996.0000		 0.0000	   0.0	
m60517c2r2.htb	   0.0	  0.03	 2.000	 -10.00	 -10.00	 40.00	   1.0	 2.0010	 996.0000		 0.0000	   0.0	
m60517c3r2.htb	   0.0	  0.03	 2.000	 10.00	 -10.00	 30.00	   0.0	 0.1030	 996.0000		 0.0000	   0.0	
m60517c3r2.htb	   0.0	  0.03	 2.000	 10.00	 -10.00	 30.00	   1.0	 0.1570	 996.0000		 0.0000	   0.0	
m60517c4r2.htb	   0.0	  0.03	 2.000	  5.00	 -8.00	 30.00	   0.0	 0.1360	 996.0000		 0.0000	   0.0	
m60517c4r2.htb	   0.0	  0.03	 2.000	  5.00	 -8.00	 30.00	   1.0	 0.0960	 996.0000		 0.0000	   1.0	
m60517c5r2.htb	   0.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   0.0	 0.1120	 996.0000		 0.0000	   0.0	
m60517c5r2.htb	   0.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   1.0	 0.1170	 996.0000		 0.0000	   0.0	
m60517c6r2.htb	   0.0	  0.03	 2.000	  8.00	 10.00	 40.00	   0.0	 0.1050	 996.0000		 0.0000	   0.0	
m60517c6r2.htb	   0.0	  0.03	 2.000	  8.00	 10.00	 40.00	   1.0	 0.1100	 996.0000		 0.0000	   0.0	
m60518c2r2.htb	   0.0	  0.03	 2.000	 -8.00	 -5.00	 40.00	   0.0	 0.1180	 996.0000		 0.0000	   0.0	
m60518c2r2.htb	   0.0	  0.03	 2.000	 -8.00	 -5.00	 40.00	   1.0	 -0.4890	 996.0000		 0.0000	   0.0	
m60519c3r2.htb	   0.0	  0.03	 2.000	 -5.00	 -5.00	 30.00	   0.0	 0.1080	 996.0000		 0.0000	   0.0	
m60519c3r2.htb	   0.0	  0.03	 2.000	 -5.00	 -5.00	 30.00	   1.0	 0.1490	 996.0000		 0.0000	   0.0	
m60523c1r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.1040	 996.0000		 0.0000	   0.0	
m60523c1r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 0.1690	 996.0000		 0.0000	   0.0	
m60523c2r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   0.0	 0.4230	 996.0000		 0.0000	   1.0	
m60523c2r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   1.0	 0.2350	 996.0000		 0.0000	   1.0	
m60523c3r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   0.0	 2.0010	 996.0000		 0.0000	   1.0	
m60523c3r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   1.0	 0.1730	 996.0000		 0.0000	   1.0	
m60523c4r2.htb	   0.0	  0.03	 2.000	 -10.00	 -10.00	 40.00	   0.0	 0.1170	 996.0000		 0.0000	   1.0	
m60523c4r2.htb	   0.0	  0.03	 2.000	 -10.00	 -10.00	 40.00	   1.0	 0.1540	 996.0000		 0.0000	   0.0	
m60524c2r2.htb	   0.0	  0.03	 2.000	 -10.00	  0.00	 30.00	   0.0	 0.1210	 996.0000		 0.0000	   1.0	
m60524c2r2.htb	   0.0	  0.03	 2.000	 -10.00	  0.00	 30.00	   1.0	 0.1090	 996.0000		 0.0000	   0.0	
m60524c3r2.htb	 240.0	  0.03	 2.000	  0.00	  7.00	 30.00	   0.0	 0.1290	 996.0000		 0.0000	   1.0	
m60524c3r2.htb	 240.0	  0.03	 2.000	  0.00	  7.00	 30.00	   1.0	 0.1790	 996.0000		 0.0000	   1.0	
m60524c4r2.htb	 240.0	  0.03	 2.000	 -5.00	 -5.00	 40.00	   0.0	 0.3190	 996.0000		 0.0000	   1.0	
m60524c4r2.htb	 240.0	  0.03	 2.000	 -5.00	 -5.00	 40.00	   1.0	 0.2110	 996.0000		 0.0000	   0.0	
m60524c5r2.htb	   0.0	  0.03	 2.000	 -10.00	 -5.00	 40.00	   0.0	 0.2880	 996.0000		 0.0000	   1.0	
m60524c5r2.htb	   0.0	  0.03	 2.000	 -10.00	 -5.00	 40.00	   1.0	 0.1390	 996.0000		 0.0000	   1.0	
m60525c1r2.htb	   0.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   0.0	 0.1480	 996.0000		 0.0000	   0.0	
m60525c1r2.htb	   0.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   1.0	 -0.4890	 996.0000		 0.0000	   0.0	
m60525c2r2.htb	   0.0	  0.03	 2.000	  5.00	  0.00	 40.00	   0.0	 0.1100	 996.0000		 0.0000	   1.0	
m60525c2r2.htb	   0.0	  0.03	 2.000	  5.00	  0.00	 40.00	   1.0	 0.1790	 996.0000		 0.0000	   1.0	
m60525c3r2.htb	   0.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   0.0	 0.1300	 996.0000		 0.0000	   0.0	
m60525c3r2.htb	   0.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   1.0	 0.1200	 996.0000		 0.0000	   1.0	
m60525c4r2.htb	   0.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   0.0	 0.1290	 996.0000		 0.0000	   0.0	
m60525c4r2.htb	   0.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   1.0	 0.1210	 996.0000		 0.0000	   0.0	
m60531c1r2.htb	   0.0	  0.03	 2.000	 -10.00	  0.00	 40.00	   0.0	 1.1160	 996.0000		 0.0000	   1.0	
m60531c1r2.htb	   0.0	  0.03	 2.000	 -10.00	  0.00	 40.00	   1.0	 0.8850	 996.0000		 0.0000	   0.0	
m60531c2r2.htb	   0.0	  0.03	 2.000	 -5.00	 -5.00	 50.00	   0.0	 0.3810	 996.0000		 0.0000	   0.0	
m60531c2r2.htb	   0.0	  0.03	 2.000	 -5.00	 -5.00	 50.00	   1.0	 0.1250	 996.0000		 0.0000	   1.0	
m60601c1r2.htb	   0.0	  0.03	 2.000	  0.00	  7.00	 40.00	   0.0	 0.1470	 996.0000		 0.0000	   0.0	
m60601c1r2.htb	   0.0	  0.03	 2.000	  0.00	  7.00	 40.00	   1.0	 0.1420	 996.0000		 0.0000	   0.0	
m60601c2r2.htb	   0.0	  0.03	 2.000	 -10.00	 -15.00	 40.00	   0.0	 0.1640	 996.0000		 0.0000	   1.0	
m60601c2r2.htb	   0.0	  0.03	 2.000	 -10.00	 -15.00	 40.00	   1.0	 0.1680	 996.0000		 0.0000	   0.0	
m60601c3r2.htb	  90.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   0.0	 0.4140	 996.0000		 0.0000	   0.0	
m60601c3r2.htb	  90.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   1.0	 0.1990	 996.0000		 0.0000	   0.0	
m60601c4r2.htb	  90.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.1120	 996.0000		 0.0000	   0.0	
m60601c4r2.htb	  90.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 0.1600	 996.0000		 0.0000	   0.0	
m60601c5r2.htb	  90.0	  0.03	 2.000	  0.00	 -8.00	 40.00	   0.0	 0.0940	 996.0000		 0.0000	   0.0	
m60601c5r2.htb	  90.0	  0.03	 2.000	  0.00	 -8.00	 40.00	   1.0	 0.1350	 996.0000		 0.0000	   1.0	
m60602c1r2.htb	   0.0	  0.03	 2.000	  0.00	 -7.00	 30.00	   0.0	 0.3870	 996.0000		 0.0000	   1.0	
m60602c1r2.htb	   0.0	  0.03	 2.000	  0.00	 -7.00	 30.00	   1.0	 0.4720	 996.0000		 0.0000	   1.0	
m60602c2r2.htb	   0.0	  0.03	 2.000	 -8.00	 -8.00	 30.00	   0.0	 0.2130	 996.0000		 0.0000	   1.0	
m60602c2r2.htb	   0.0	  0.03	 2.000	 -8.00	 -8.00	 30.00	   1.0	 0.1890	 996.0000		 0.0000	   0.0	
m60602c3r2.htb	   0.0	  0.03	 2.000	  0.00	  5.00	 30.00	   0.0	 0.1330	 996.0000		 0.0000	   1.0	
m60602c3r2.htb	   0.0	  0.03	 2.000	  0.00	  5.00	 30.00	   1.0	 0.2720	 996.0000		 0.0000	   0.0	
m60602c4r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 20.00	   0.0	 0.6320	 996.0000		 0.0000	   0.0	
m60602c4r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 20.00	   1.0	 0.3810	 996.0000		 0.0000	   1.0	
m60602c5r2.htb	   0.0	  0.03	 2.000	 -5.00	 -5.00	 50.00	   0.0	 2.0010	 996.0000		 0.0000	   1.0	
m60602c5r2.htb	   0.0	  0.03	 2.000	 -5.00	 -5.00	 50.00	   1.0	 0.1990	 996.0000		 0.0000	   0.0	
m60605c1r2.htb	   0.0	  0.03	 2.000	 -3.00	 -7.00	 30.00	   0.0	 0.0870	 996.0000		 0.0000	   0.0	
m60605c1r2.htb	   0.0	  0.03	 2.000	 -3.00	 -7.00	 30.00	   1.0	 0.0980	 996.0000		 0.0000	   0.0	
m60605c2r2.htb	   0.0	  0.03	 2.000	 -10.00	 -10.00	 30.00	   0.0	 0.1340	 996.0000		 0.0000	   0.0	
m60605c2r2.htb	   0.0	  0.03	 2.000	 -10.00	 -10.00	 30.00	   1.0	 2.0110	 996.0000		 0.0000	   1.0	
m60605c3r2.htb	   0.0	  0.03	 2.000	 -5.00	 -2.00	 30.00	   0.0	 0.1070	 996.0000		 0.0000	   0.0	
m60605c3r2.htb	   0.0	  0.03	 2.000	 -5.00	 -2.00	 30.00	   1.0	 0.1480	 996.0000		 0.0000	   1.0	
m60606c1r2.htb	   0.0	  0.03	 2.000	  8.00	 -8.00	 30.00	   0.0	 -0.4890	 996.0000		 0.0000	   0.0	
m60606c1r2.htb	   0.0	  0.03	 2.000	  8.00	 -8.00	 30.00	   1.0	 -0.4890	 996.0000		 0.0000	   1.0	
m60606c2r2.htb	   0.0	  0.03	 2.000	 -10.00	  0.00	 40.00	   0.0	 -0.4890	 996.0000		 0.0000	   1.0	
