FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 Onset	 AvgPulseTime	 PulseTimeStdev	 RedFlag	
m60629c2r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 2.0010	 996.0000		 0.0000	   1.0	
m60630c1r2.htb	   0.0	  0.03	 2.000	  0.00	 -8.00	 60.00	   0.0	 0.2360	 996.0000		 0.0000	   1.0	
m60630c1r2.htb	   0.0	  0.03	 2.000	  0.00	 -8.00	 60.00	   1.0	 0.1130	 996.0000		 0.0000	   0.0	
m60630c2r2.htb	   0.0	  0.03	 2.000	  0.00	 10.00	 50.00	   0.0	 0.2280	 996.0000		 0.0000	   1.0	
m60630c2r2.htb	   0.0	  0.03	 2.000	  0.00	 10.00	 50.00	   1.0	 0.1980	 996.0000		 0.0000	   1.0	
m60706c1r2.htb	   0.0	  0.03	 2.000	 10.00	  0.00	 40.00	   0.0	 2.0010	 996.0000		 0.0000	   1.0	
m60706c1r2.htb	   0.0	  0.03	 2.000	 10.00	  0.00	 40.00	   1.0	 0.3050	 996.0000		 0.0000	   1.0	
m60706c2r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   0.0	 0.1320	 996.0000		 0.0000	   1.0	
m60706c2r2.htb	   0.0	  0.03	 2.000	  0.00	 -10.00	 40.00	   1.0	 0.1350	 996.0000		 0.0000	   0.0	
m60706c3r2.htb	   0.0	  0.03	 2.000	 -5.00	 -10.00	 40.00	   0.0	 0.1740	 996.0000		 0.0000	   0.0	
m60706c3r2.htb	   0.0	  0.03	 2.000	 -5.00	 -10.00	 40.00	   1.0	 0.3470	 996.0000		 0.0000	   1.0	
m60706c4r2.htb	   0.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   0.0	 0.1810	 996.0000		 0.0000	   0.0	
m60706c4r2.htb	   0.0	  0.03	 2.000	 10.00	 -10.00	 40.00	   1.0	 0.2250	 996.0000		 0.0000	   0.0	
m60711c2r2.htb	   0.0	  0.03	 2.000	 -5.00	  8.00	 40.00	   0.0	 0.1350	 996.0000		 0.0000	   0.0	
m60711c2r2.htb	   0.0	  0.03	 2.000	 -5.00	  8.00	 40.00	   1.0	 0.1560	 996.0000		 0.0000	   0.0	
m60712c2r2.htb	   0.0	  0.03	 2.000	 -5.00	  5.00	 40.00	   0.0	 0.0970	 996.0000		 0.0000	   0.0	
m60712c2r2.htb	   0.0	  0.03	 2.000	 -5.00	  5.00	 40.00	   1.0	 0.1290	 996.0000		 0.0000	   0.0	
m60713c1r2.htb	   0.0	  0.03	 2.000	  8.00	  0.00	 60.00	   0.0	 0.2220	 996.0000		 0.0000	   1.0	
m60713c1r2.htb	   0.0	  0.03	 2.000	  8.00	  0.00	 60.00	   1.0	 0.1420	 996.0000		 0.0000	   1.0	
m60713c2r2.htb	   0.0	  0.03	 2.000	 -10.00	 10.00	 40.00	   0.0	 0.1890	 996.0000		 0.0000	   0.0	
m60713c2r2.htb	   0.0	  0.03	 2.000	 -10.00	 10.00	 40.00	   1.0	 -0.4890	 996.0000		 0.0000	   0.0	
m60713c3r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.1130	 996.0000		 0.0000	   0.0	
m60713c3r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 0.1350	 996.0000		 0.0000	   0.0	
m60714c1r2.htb	   0.0	  0.03	 2.000	  5.00	  3.00	 40.00	   0.0	 0.1720	 996.0000		 0.0000	   0.0	
m60714c1r2.htb	   0.0	  0.03	 2.000	  5.00	  3.00	 40.00	   1.0	 0.1430	 996.0000		 0.0000	   1.0	
m60714c2r2.htb	   0.0	  0.03	 2.000	 -5.00	 -8.00	 40.00	   0.0	 0.1430	 996.0000		 0.0000	   0.0	
m60714c2r2.htb	   0.0	  0.03	 2.000	 -5.00	 -8.00	 40.00	   1.0	 0.1340	 996.0000		 0.0000	   1.0	
m60714c3r2.htb	   0.0	  0.03	 2.000	 -8.00	  0.00	 40.00	   0.0	 0.1360	 996.0000		 0.0000	   0.0	
m60714c3r2.htb	   0.0	  0.03	 2.000	 -8.00	  0.00	 40.00	   1.0	 0.0960	 996.0000		 0.0000	   0.0	
m60714c4r2.htb	   0.0	  0.03	 2.000	 -5.00	  8.00	 40.00	   0.0	 0.2460	 996.0000		 0.0000	   1.0	
m60714c4r2.htb	   0.0	  0.03	 2.000	 -5.00	  8.00	 40.00	   1.0	 0.2460	 996.0000		 0.0000	   1.0	
m60717c1r2.htb	   0.0	  0.03	 2.000	 -8.00	 -8.00	 40.00	   0.0	 0.1580	 996.0000		 0.0000	   0.0	
m60717c1r2.htb	   0.0	  0.03	 2.000	 -8.00	 -8.00	 40.00	   1.0	 0.1480	 996.0000		 0.0000	   1.0	
m60717c2r2.htb	 170.0	  0.03	 2.000	  8.00	 -10.00	 40.00	   0.0	 0.1960	 996.0000		 0.0000	   1.0	
m60717c2r2.htb	 170.0	  0.03	 2.000	  8.00	 -10.00	 40.00	   1.0	 0.1000	 996.0000		 0.0000	   0.0	
m60719c1r2.htb	   0.0	  0.03	 2.000	  5.00	 -10.00	 40.00	   0.0	 0.1480	 996.0000		 0.0000	   0.0	
m60719c1r2.htb	   0.0	  0.03	 2.000	  5.00	 -10.00	 40.00	   1.0	 -0.4890	 996.0000		 0.0000	   0.0	
m60719c4r2.htb	   0.0	  0.03	 2.000	 -5.00	 10.00	 40.00	   0.0	 0.3700	 996.0000		 0.0000	   0.0	
m60719c4r2.htb	   0.0	  0.03	 2.000	 -5.00	 10.00	 40.00	   1.0	 0.2330	 996.0000		 0.0000	   1.0	
m60719c4r2.htb	   0.0	  0.03	 2.000	 -5.00	 10.00	 40.00	   0.0	 0.3700	 996.0000		 0.0000	   0.0	
m60719c4r2.htb	   0.0	  0.03	 2.000	 -5.00	 10.00	 40.00	   1.0	 0.2330	 996.0000		 0.0000	   1.0	
m60721c1r2.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	   0.0	 0.1350	 996.0000		 0.0000	   0.0	
m60721c1r2.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	   1.0	 0.1350	 996.0000		 0.0000	   0.0	
m60721c1r2.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	   0.0	 0.1350	 996.0000		 0.0000	   0.0	
m60721c1r2.htb	   0.0	  0.03	 2.000	  0.00	 -5.00	 40.00	   1.0	 0.1350	 996.0000		 0.0000	   0.0	
m60721c2r2.htb	   0.0	  0.03	 2.000	  8.00	 -5.00	 40.00	   0.0	 0.1300	 996.0000		 0.0000	   0.0	
m60721c2r2.htb	   0.0	  0.03	 2.000	  8.00	 -5.00	 40.00	   1.0	 0.1290	 996.0000		 0.0000	   0.0	
m60721c3r2.htb	   0.0	  0.03	 2.000	 -5.00	  0.00	 40.00	   0.0	 0.1390	 996.0000		 0.0000	   0.0	
m60721c3r2.htb	   0.0	  0.03	 2.000	 -5.00	  0.00	 40.00	   1.0	 0.1350	 996.0000		 0.0000	   0.0	
m60724c1r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.1450	 996.0000		 0.0000	   0.0	
m60724c1r2.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	   1.0	 0.3630	 996.0000		 0.0000	   1.0	
m60724c2r2.htb	   0.0	  0.03	 2.000	 -5.00	  5.00	 40.00	   0.0	 0.1430	 996.0000		 0.0000	   0.0	
m60724c2r2.htb	   0.0	  0.03	 2.000	 -5.00	  5.00	 40.00	   1.0	 0.1300	 996.0000		 0.0000	   0.0	
m60724c3r2.htb	 150.0	  0.03	 2.000	  0.00	  0.00	 40.00	   0.0	 0.1230	 996.0000		 0.0000	   0.0	
