FILE		       PrDir	 PrSpd	 PrHDsp	 RFX	       RFY	      RFDiam	 ZerSpd	 ZerRsp	 MaxSpd	 MaxRsp	 MinSpd	 MinRsp	 Spont	 SpdMI	 AnovaP	 Rmeans	 Pmeans	  Rraw	 Praw		 SDI	       VarTrm	  R0	         K	       alpha	tau		 expon	Chi2		 ChiP		  Npts	   Npars	 FitErr	
m60418c4r8.htb	    0.0	  10.00	  0.000	   0.00	 -10.00	  50.00	   0.0	  12.69	 26.000	  18.19	  0.000	  11.99	   7.71	  0.391	 0.00000010	  0.858	 0.00033310	  0.375	 0.00000000	 0.5644	  0.371	  11.93	   6.26	  0.0717090	 -0.9083757	  1.9313438	  1.03955	 0.90374047	     90	      5	 12.5187	
m60420c3r8.htb	    0.0	  10.00	  0.000	  -5.00	   5.00	  40.00	   0.0	  15.57	 31.350	  23.31	  0.000	  16.45	  11.44	  0.345	 0.00015276	  0.878	 0.00019629	  0.270	 0.00000016	 0.5214	  0.432	  13.19	  10.12	  0.0663639	 -20.0000000  3.4089146	  0.52288	 0.97123574	     90	      5	 16.0153	
m60420c4r8.htb	    0.0	  10.00	  0.000	  10.00	  -8.00	  40.00	   0.0	   2.54	 22.050	   4.70	  0.000	   2.04	   0.95	  0.541	 0.03447851	  0.802	 0.00109428	  0.144	 0.00022570	 0.3897	  0.553	   0.75	   3.96	  0.0174496	 -0.4994613	  0.3938622	  0.34379	 0.98681449	     90	      5	 25.7588	
m60420c5r8.htb	    0.0	  10.00	  0.000	   8.00	  -5.00	  40.00	   0.0	  20.30	 14.650	  30.74	  0.000	  19.92	  15.37	  0.332	 0.00000096	  0.975	 0.00000077	  0.390	 0.00000000	 0.5634	  0.401	  19.78	  10.95	  0.0201442	 -0.0000019	  0.2953517	  0.14189	 0.99759937	     90	      5	 13.1916	
m60424c6r8.htb	    0.0	  10.00	  0.000	  -5.00	  -5.00	  30.00	   0.0	  13.48	 15.950	  20.17	  0.000	  12.66	   0.40	  0.359	 0.19949197	  0.923	 0.00003743	  0.114	 0.00114894	 0.3510	  0.854	  15.61	   4.56	  0.0737865	  2.6017886	  0.9839215	  0.10981	 0.99854668	     90	      5	 59.9688	
m60515c4r8.htb	    0.0	  10.00	  0.000	 -10.00	  10.00	  40.00	   0.0	   3.18	  3.600	   4.08	 64.000	   2.49	   0.63	  0.427	 0.02457307	  0.920	 0.00004296	  0.163	 0.00004440	 0.4122	  0.357	   2.49	   1.58	  0.1785223	 -0.3437268	  0.7008466	  0.12310	 0.99818171	     96	      5	 11.2561	
m60518c3r8.htb	    0.0	  10.00	  0.000	  10.00	   5.00	  40.00	   0.0	  12.04	  9.450	  13.40	  0.500	  11.36	  13.53	  0.223	 0.69023609	  0.304	 0.12375502	  0.041	 0.18287150	 0.3675	  0.414	   9.70	   3.70	  0.0044540	  0.5000000	  0.0398734	  1.19202	 0.88035009	     45	      5	 6.8380	
m60518c4r8.htb	    0.0	  10.00	  0.000	   0.00	 -10.00	  40.00	   0.0	   7.26	 14.050	   8.52	 64.000	   6.89	   5.22	  0.231	 0.70737852	  0.780	 0.00160471	  0.049	 0.03581628	 0.2821	  0.469	   6.08	   2.44	  0.0407498	 -2.2716599	  0.6656175	  0.33567	 0.98739649	     90	      5	 18.1801	
m60524c6r8.htb	    0.0	  10.00	  0.000	 -12.00	  -8.00	  40.00	   0.0	   2.69	  8.150	   4.10	  0.000	   2.38	   0.86	  0.441	 0.20623861	  0.740	 0.00293499	  0.060	 0.00417173	 0.3092	  0.600	   2.38	   1.72	  0.0556704	  0.0000000	  0.4545815	  0.16043	 0.99694974	    135	      5	 45.7382	
m60629c1r8.htb	    0.0	  30.00	  0.000	   0.00	  -5.00	  40.00	   0.0	   7.83	 33.950	  17.50	  0.000	   8.28	   3.65	  0.563	 0.00000000	  0.981	 0.00000028	  0.450	 0.00000000	 0.5800	  0.510	   6.93	  10.57	  0.0539211	 -7.0797106	  2.2122497	  0.18772	 0.99586136	    135	      5	 33.4178	
