FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 GrType	 MaxLoc	 MaxRsp	 MinLoc	 MinRsp	 AvgRsp	 Spont	 AnovaP	 MSgrp	 MSerror	 MaxX 	 MinX 	
m60125c3r6.htb	  30.0	  0.03	 2.000	 -8.00	 -18.00	 30.00	   0.0	 48.88	 20.32	  2.89	  2.89	  9.23	  3.23	 0.00000000	     14.377	      0.343	 64.00	  1.00	
m60125c3r6.htb	  30.0	  0.03	 2.000	 -8.00	 -18.00	 30.00	   1.0	 24.94	 19.35	  1.00	  2.99	  9.58	  3.23	 0.00000000	     12.213	      0.347	 64.00	  1.00	
m60125c4r7.htb	  90.0	  0.05	 2.000	  0.00	 -8.00	 30.00	   0.0	 48.25	 28.27	  2.89	  3.93	 13.34	  4.48	 0.00000000	      7.952	      0.440	 64.00	  1.00	
m60125c4r7.htb	  90.0	  0.05	 2.000	  0.00	 -8.00	 30.00	   1.0	 21.16	 24.69	  1.00	  6.82	 14.59	  4.48	 0.00000006	      6.271	      0.499	 64.00	  1.00	
m60125c4r7.htb	  90.0	  0.05	 2.000	  0.00	 -8.00	 30.00	   0.0	 48.25	 28.27	  2.89	  3.93	 13.34	  4.48	 0.00000000	      7.952	      0.440	 64.00	  1.00	
m60125c4r7.htb	  90.0	  0.05	 2.000	  0.00	 -8.00	 30.00	   1.0	 21.16	 24.69	  1.00	  6.82	 14.59	  4.48	 0.00000006	      6.271	      0.499	 64.00	  1.00	
m60125c4r7.htb	  90.0	  0.05	 2.000	  0.00	 -8.00	 30.00	   0.0	 48.25	 28.27	  2.89	  3.93	 13.34	  4.48	 0.00000000	      7.952	      0.440	 64.00	  1.00	
m60125c4r7.htb	  90.0	  0.05	 2.000	  0.00	 -8.00	 30.00	   1.0	 21.16	 24.69	  1.00	  6.82	 14.59	  4.48	 0.00000006	      6.271	      0.499	 64.00	  1.00	
m60125c3r6.htb	  30.0	  0.03	 2.000	 -8.00	 -18.00	 30.00	   0.0	 48.88	 20.32	  2.89	  2.89	  9.23	  3.23	 0.00000000	     14.377	      0.343	 64.00	  1.00	
m60125c3r6.htb	  30.0	  0.03	 2.000	 -8.00	 -18.00	 30.00	   1.0	 24.94	 19.35	  1.00	  2.99	  9.58	  3.23	 0.00000000	     12.213	      0.347	 64.00	  1.00	
m60124c4r7.htb	   0.0	  0.03	 4.000	 10.00	 -5.00	 70.00	   0.0	 63.37	 15.53	  5.41	  1.89	  5.65	  3.90	 0.00000017	      3.282	      0.237	 64.00	  1.00	
