FILE			 PrfOR	 PrfSF	 PrfTF	 RFXctr	 RFYctr	 RFDiam	 BaseRate	 Amp		 x_width	 y_width	 x_ctr	 y_ctr	 rfplot_x_ctr	 rfplot_y_ctr	 axpect_ratio	
m60804c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.64	 15.94	 16.41	 14.34	  3.91	 -6.04	  0.00		  0.00		 
m60815c3r1.htb	   0.0	  0.03	 2.000	 10.00	 -10.00	 40.00	 11.41	  9.86	 19.22	 11.40	  6.38	 -15.66	 10.00		 -10.00		 
m60816c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.01	  4.99	 19.22	 12.80	 -9.54	 -9.04	  0.00		  0.00		 
m60816c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.47	 13.33	 11.74	 11.75	  1.64	  2.79	  0.00		  0.00		 
m60816c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  2.47	 13.33	 11.74	 11.75	  1.64	  2.79	  0.00		  0.00		 
m60816c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  4.59	  2.64	  7.07	 24.36	 -5.28	 -17.60	  0.00		  0.00		 
m60818c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.26	  5.97	 11.89	  7.64	 -5.96	 -2.89	  0.00		  0.00		 
m60818c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  9.61	  9.96	 27.31	 21.26	  3.26	  8.55	  0.00		  0.00		 
m60818c3r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.80	  4.14	 23.85	 23.18	 -3.63	  4.58	  0.00		  0.00		 
m60821c4r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.32	 14.90	 12.81	 12.14	  4.32	 -10.40	  0.00		  0.00		 
m60825c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.70	  5.25	 29.22	 13.94	 -13.06	 -6.04	  0.00		  0.00		 
m60831c2r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.04	  7.43	 15.96	 10.54	 -0.92	 -6.44	  0.00		  0.00		 
m60831c3r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	 10.05	 27.99	 18.76	 18.52	 -2.14	  2.35	  0.00		  0.00		 
m60901c1r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.01	  4.10	  9.89	  9.13	 -7.25	 -0.56	  0.00		  0.00		 
m60901c2r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.23	 17.01	 11.17	 10.28	  4.73	 -0.85	  0.00		  0.00		 
m60901c3r1.htb	 180.0	  0.03	 2.000	  0.00	  0.00	 40.00	  0.25	  8.99	 18.28	 18.02	 -4.25	 -4.85	  0.00		  0.00		 
m61025c1r1.htb	   0.0	  0.03	 2.000	  0.00	  0.00	 40.00	  1.54	  7.76	 30.89	 19.58	  3.49	 -5.30	  0.00		  0.00		 
